3s last_seq=1 kinds=boot
6s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
9s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
12s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
15s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
18s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
21s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
24s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
27s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
30s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
33s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
36s last_seq=11 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
39s last_seq=15 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done,task_claimed,plan_built,node_start,actuation_start
42s last_seq=21 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
45s last_seq=21 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
48s last_seq=21 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
51s last_seq=21 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
54s last_seq=21 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
57s last_seq=21 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
60s last_seq=21 kinds=boot,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done,task_claimed,plan_built,node_start,actuation_start,stage_transition,stage_transition,actuation_end,node_verified,plan_complete,task_done
